                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1915,                 4.4338,                 1.2766,                0.56654,                0.51864,                0.55567,                0.40176,                0.96997,                 1.9436,                 1.0818,             9.4815e-05,             9.4815e-05,             9.4815e-05
                      2,                0.95776,                 2.3742,                 1.0727,                 0.9347,                0.91568,                0.97509,                0.75451,                0.84615,                0.82689,                 1.0222,             0.00018827,             0.00018827,             0.00018827
                      3,                0.90259,                 1.7047,                 1.0337,                0.97734,                0.96649,                0.98987,                0.77334,                0.82734,                0.72173,                0.99077,             0.00027983,             0.00027983,             0.00027983
                      4,                0.88131,                  1.428,                 1.0176,                0.97507,                0.97126,                0.99081,                0.78411,                0.81728,                0.63374,                0.97388,             0.00027751,             0.00027751,             0.00027751
                      5,                0.84806,                 1.1932,                0.99828,                0.97755,                  0.982,                0.99159,                0.79244,                0.77525,                0.55074,                 0.9524,             0.00027751,             0.00027751,             0.00027751
                      6,                0.81913,                 1.0249,                0.98708,                0.98673,                0.98734,                0.99208,                0.79478,                0.77395,                0.49525,                 0.9533,             0.00027467,             0.00027467,             0.00027467
                      7,                0.80698,                0.91507,                0.98194,                0.98923,                0.98275,                0.99213,                0.79178,                0.78452,                0.48323,                0.94119,             0.00027184,             0.00027184,             0.00027184
                      8,                0.79221,                0.84296,                 0.9741,                 0.9855,                0.98363,                0.99007,                0.79839,                0.75268,                0.44842,                0.93827,             0.00026901,             0.00026901,             0.00026901
                      9,                 0.7897,                0.78444,                0.96644,                0.98947,                0.99006,                0.99247,                0.80998,                0.72931,                0.43325,                0.92714,             0.00026618,             0.00026618,             0.00026618
                     10,                  0.776,                0.76339,                 0.9688,                0.99005,                0.98856,                0.99153,                0.81048,                0.72949,                0.41025,                0.92489,             0.00026618,             0.00026618,             0.00026618
