                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3438,                0.75773,                 1.2188,                0.93333,                0.87388,                0.93365,                0.66655,                 1.0003,                0.50673,                 0.9896,              0.0033203,              0.0033203,              0.0033203
                      2,                 1.0373,                0.57357,                 1.0421,                0.95985,                0.90307,                0.97131,                 0.7366,                0.86556,                0.43237,                 0.9308,              0.0066207,              0.0066207,              0.0066207
                      3,                0.94642,                0.52151,                0.99086,                0.93933,                0.93118,                 0.9804,                0.74707,                0.84107,                0.42608,                0.93411,              0.0098881,              0.0098881,              0.0098881
                      4,                0.91661,                0.51677,                 0.9777,                0.96018,                0.93763,                0.96851,                0.74005,                0.85419,                0.43619,                0.94954,              0.0098515,              0.0098515,              0.0098515
                      5,                0.88542,                0.50848,                0.96799,                0.96311,                0.94475,                0.98313,                 0.7492,                0.86097,                0.41858,                0.93896,              0.0098515,              0.0098515,              0.0098515
                      6,                0.85781,                0.48416,                0.95323,                0.94441,                0.95309,                0.98191,                0.75545,                0.82979,                0.43867,                0.92799,               0.009802,               0.009802,               0.009802
                      7,                0.84253,                0.47118,                0.94872,                0.96094,                0.94076,                0.98212,                0.74973,                0.86042,                0.44446,                0.93316,              0.0097525,              0.0097525,              0.0097525
                      8,                0.81347,                0.45372,                0.93881,                0.93979,                0.95249,                0.96429,                0.74408,                 0.8271,                0.42265,                0.93466,               0.009703,               0.009703,               0.009703
                      9,                0.79731,                0.45175,                0.93225,                0.96008,                0.95628,                0.98416,                 0.7554,                0.82269,                0.39923,                0.92142,              0.0096535,              0.0096535,              0.0096535
                     10,                 0.8007,                0.44854,                0.92806,                0.97741,                0.95386,                0.98384,                0.75991,                0.81995,                0.40281,                0.92955,               0.009604,               0.009604,               0.009604
                     11,                0.79373,                0.44876,                0.93455,                0.96951,                0.96266,                0.98691,                0.75599,                0.82871,                0.38826,                0.93017,              0.0095545,              0.0095545,              0.0095545
                     12,                0.77889,                0.43686,                0.93135,                 0.9625,                0.95745,                0.98086,                0.74888,                0.85295,                0.40571,                0.94912,               0.009505,               0.009505,               0.009505
                     13,                0.76845,                0.43656,                0.92171,                 0.9747,                0.96068,                0.98659,                0.74876,                0.85605,                0.39001,                0.94362,              0.0094555,              0.0094555,              0.0094555
                     14,                0.75119,                0.42462,                0.91745,                0.96046,                0.95629,                0.98352,                0.75625,                0.83787,                0.39433,                 0.9391,               0.009406,               0.009406,               0.009406
                     15,                0.75265,                0.42331,                0.91433,                 0.9776,                0.96747,                0.98463,                0.74896,                0.84286,                0.39118,                0.93834,              0.0093565,              0.0093565,              0.0093565
                     16,                0.74111,                0.42351,                0.90879,                0.97247,                0.96829,                0.98775,                0.76347,                0.81085,                0.37494,                0.92155,               0.009307,               0.009307,               0.009307
                     17,                0.73734,                0.41737,                0.91295,                0.97424,                0.96049,                0.98576,                0.76273,                0.82127,                0.39389,                0.93592,              0.0092575,              0.0092575,              0.0092575
                     18,                0.72293,                0.40763,                0.90979,                0.97569,                0.96887,                 0.9864,                0.76794,                0.82755,                0.38034,                0.93598,               0.009208,               0.009208,               0.009208
                     19,                0.72698,                0.40962,                0.91037,                0.96457,                0.96483,                0.98973,                0.77508,                0.82566,                0.37992,                0.93754,              0.0091585,              0.0091585,              0.0091585
                     20,                0.70758,                0.40385,                0.90247,                 0.9701,                0.96705,                0.99241,                0.76615,                0.82558,                0.37871,                 0.9318,               0.009109,               0.009109,               0.009109
