                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99409,                  1.745,                0.96122,                 0.9789,                0.98429,                0.99396,                0.83842,                0.64313,                0.46894,                0.82709,              0.0033291,              0.0033291,              0.0033291
                      2,                0.80471,                0.65616,                 0.8937,                0.92979,                0.95859,                0.97806,                0.81694,                 0.6766,                0.56451,                0.83435,              0.0066294,              0.0066294,              0.0066294
                      3,                0.83366,                0.66631,                0.91276,                0.96737,                0.98674,                 0.9917,                0.81736,                0.72126,                0.53303,                0.86194,              0.0098968,              0.0098968,              0.0098968
                      4,                0.83822,                 0.6482,                0.92855,                0.98245,                0.99093,                0.99258,                0.84422,                0.64371,                0.45696,                0.85935,              0.0098515,              0.0098515,              0.0098515
                      5,                0.80222,                0.57791,                0.92307,                0.99298,                0.99665,                0.99449,                0.84686,                0.64212,                0.41582,                0.86131,              0.0098515,              0.0098515,              0.0098515
                      6,                0.77694,                0.54181,                0.92185,                0.99031,                0.99547,                0.99407,                0.84847,                0.62683,                0.39623,                0.85439,               0.009802,               0.009802,               0.009802
                      7,                0.75774,                0.51522,                 0.9138,                0.99364,                0.99399,                0.99445,                0.82047,                0.72769,                0.41284,                0.87914,              0.0097525,              0.0097525,              0.0097525
                      8,                0.74179,                0.48936,                0.91004,                0.99414,                0.99823,                 0.9944,                 0.8553,                 0.6165,                0.36548,                0.84953,               0.009703,               0.009703,               0.009703
                      9,                0.72399,                0.47368,                0.90396,                0.99438,                0.99751,                0.99459,                 0.8587,                0.60356,                0.35198,                0.85127,              0.0096535,              0.0096535,              0.0096535
                     10,                0.71128,                0.45946,                0.90419,                0.99145,                0.99703,                0.99447,                0.85129,                0.61603,                0.34531,                 0.8536,               0.009604,               0.009604,               0.009604
                     11,                0.70149,                0.45329,                0.89867,                 0.9956,                 0.9991,                0.99449,                0.85997,                0.59378,                0.33612,                0.85043,              0.0095545,              0.0095545,              0.0095545
                     12,                 0.6934,                 0.4404,                0.89607,                0.99704,                0.99885,                0.99452,                0.86429,                0.60226,                0.32351,                0.84633,               0.009505,               0.009505,               0.009505
                     13,                0.67963,                0.42794,                0.89327,                0.99612,                0.99874,                0.99452,                0.84881,                 0.6534,                0.32219,                0.85856,              0.0094555,              0.0094555,              0.0094555
                     14,                0.67697,                0.41861,                0.89055,                0.99505,                0.99927,                0.99453,                0.85163,                 0.6521,                0.32693,                0.85378,               0.009406,               0.009406,               0.009406
                     15,                0.66882,                0.41036,                0.88851,                  0.996,                0.99921,                0.99459,                0.87665,                0.57074,                0.29688,                0.84223,              0.0093565,              0.0093565,              0.0093565
                     16,                0.66342,                0.40296,                0.88435,                0.99402,                 0.9992,                0.99449,                 0.8761,                0.55748,                0.28753,                0.83486,               0.009307,               0.009307,               0.009307
                     17,                0.65547,                0.39946,                0.88436,                0.99625,                0.99893,                0.99455,                0.87262,                0.57524,                0.28859,                0.83932,              0.0092575,              0.0092575,              0.0092575
                     18,                0.65627,                0.39545,                0.88452,                0.99675,                0.99927,                 0.9945,                0.87414,                0.57856,                0.28678,                0.84121,               0.009208,               0.009208,               0.009208
                     19,                0.65287,                0.39496,                 0.8854,                0.99701,                0.99927,                0.99454,                0.88055,                 0.5646,                 0.2796,                0.83946,              0.0091585,              0.0091585,              0.0091585
                     20,                0.64469,                0.38278,                0.88138,                0.99553,                0.99927,                0.99465,                0.88563,                0.55321,                0.27417,                0.83896,               0.009109,               0.009109,               0.009109
                     21,                0.64602,                0.38467,                0.88188,                0.99582,                0.99927,                0.99459,                0.88422,                0.55481,                0.26956,                0.83755,              0.0090595,              0.0090595,              0.0090595
                     22,                0.63646,                 0.3775,                0.87945,                0.99659,                0.99927,                0.99468,                0.88423,                0.56466,                0.27004,                0.83799,                0.00901,                0.00901,                0.00901
                     23,                0.63819,                0.38094,                0.87954,                0.99614,                0.99927,                0.99467,                  0.889,                0.54239,                0.26179,                0.83252,              0.0089605,              0.0089605,              0.0089605
                     24,                0.63305,                 0.3759,                0.87802,                0.99733,                0.99927,                0.99461,                0.89022,                0.54172,                0.26124,                0.83614,               0.008911,               0.008911,               0.008911
                     25,                0.63005,                0.36972,                0.87736,                0.99699,                0.99902,                 0.9946,                0.89298,                0.53496,                0.25572,                0.83083,              0.0088615,              0.0088615,              0.0088615
                     26,                 0.6299,                0.36501,                0.87547,                0.99664,                0.99927,                0.99457,                0.88842,                0.54887,                0.25561,                0.83432,               0.008812,               0.008812,               0.008812
                     27,                0.62257,                0.36616,                0.87384,                0.99712,                0.99927,                0.99468,                0.89475,                0.54041,                0.25606,                0.83308,              0.0087625,              0.0087625,              0.0087625
                     28,                0.62013,                0.36496,                0.87469,                0.99671,                0.99927,                0.99464,                0.89107,                0.53453,                0.24997,                0.83248,               0.008713,               0.008713,               0.008713
                     29,                0.62122,                0.36011,                0.87399,                 0.9969,                0.99927,                0.99461,                0.89296,                0.52744,                0.24411,                0.82972,              0.0086635,              0.0086635,              0.0086635
                     30,                0.61459,                0.35622,                0.87249,                0.99731,                0.99927,                0.99456,                0.89358,                 0.5358,                0.24448,                0.83024,               0.008614,               0.008614,               0.008614
                     31,                0.61315,                0.35298,                0.87037,                0.99726,                0.99927,                0.99469,                0.89467,                0.53184,                0.24073,                0.83139,              0.0085645,              0.0085645,              0.0085645
                     32,                0.61328,                0.35382,                0.87225,                0.99747,                0.99927,                 0.9947,                0.89792,                0.52566,                0.24053,                0.83053,               0.008515,               0.008515,               0.008515
                     33,                0.60972,                0.34856,                0.86989,                0.99677,                0.99927,                0.99471,                0.90215,                0.52042,                0.23448,                0.82816,              0.0084655,              0.0084655,              0.0084655
                     34,                0.60883,                 0.3493,                0.87121,                0.99781,                0.99927,                0.99462,                0.90204,                0.52315,                0.23442,                0.82741,               0.008416,               0.008416,               0.008416
                     35,                0.60988,                0.34462,                0.86848,                0.99695,                0.99927,                0.99468,                0.90079,                0.52197,                0.23271,                 0.8278,              0.0083665,              0.0083665,              0.0083665
                     36,                0.60461,                0.34301,                0.86866,                0.99693,                0.99927,                0.99473,                0.90424,                0.52282,                0.23122,                 0.8276,               0.008317,               0.008317,               0.008317
