                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4183,                 0.8057,                 1.2919,                 0.9248,                0.84465,                0.92409,                0.64819,                 1.0515,                0.56618,                 1.0041,              0.0033204,              0.0033204,              0.0033204
                      2,                  1.104,                0.60073,                 1.0712,                0.96208,                0.90252,                0.97668,                0.73012,                0.88228,                0.44232,                0.94164,              0.0066208,              0.0066208,              0.0066208
                      3,                0.99511,                0.54062,                 1.0145,                0.94452,                0.92616,                0.97579,                0.73181,                 0.8716,                0.44951,                0.95491,              0.0098882,              0.0098882,              0.0098882
                      4,                0.95452,                0.53535,                  1.001,                0.95709,                0.94555,                0.97815,                0.73203,                0.89361,                0.43186,                0.96598,              0.0098515,              0.0098515,              0.0098515
                      5,                0.90699,                0.50523,                0.98244,                0.96377,                0.94903,                 0.9806,                0.74419,                0.86574,                0.41549,                0.94035,              0.0098515,              0.0098515,              0.0098515
                      6,                0.89133,                0.50182,                 0.9728,                0.96204,                0.94113,                0.98034,                0.73359,                0.86316,                0.44322,                0.95103,               0.009802,               0.009802,               0.009802
                      7,                0.88359,                0.49488,                0.96758,                0.96558,                0.97047,                0.98413,                0.74206,                0.86756,                0.41842,                0.94659,              0.0097525,              0.0097525,              0.0097525
                      8,                0.86304,                0.47987,                  0.962,                0.96941,                0.95482,                0.97923,                0.73226,                0.87498,                0.42639,                0.95335,               0.009703,               0.009703,               0.009703
                      9,                0.84305,                0.46949,                0.94895,                0.96925,                0.95193,                0.97738,                0.74007,                0.86526,                0.42808,                0.95184,              0.0096535,              0.0096535,              0.0096535
                     10,                0.82546,                0.46262,                0.94777,                0.97163,                0.94729,                0.98366,                0.73319,                0.88056,                 0.4175,                0.95921,               0.009604,               0.009604,               0.009604
