                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3299,                 4.9866,                 1.1324,                0.32165,                 0.4304,                 0.3141,                0.21483,                 1.1098,                 2.7147,                 1.0232,              0.0033208,              0.0033208,              0.0033208
                      2,                 1.2551,                  3.234,                 1.1005,                0.63359,                 0.7929,                0.80101,                0.54698,                 1.0837,                 1.5003,                 1.0551,              0.0066322,              0.0066322,              0.0066322
                      3,                 1.2431,                 2.4401,                  1.113,                0.78578,                0.79959,                  0.893,                0.57243,                 1.1717,                 1.6268,                 1.1277,              0.0099216,              0.0099216,              0.0099216
                      4,                 1.2635,                 2.0545,                  1.146,                0.86053,                 0.8231,                0.90025,                0.61475,                 1.1206,                 1.2492,                 1.1313,               0.009901,               0.009901,               0.009901
                      5,                 1.2116,                 1.5929,                 1.1422,                0.88536,                 0.8678,                0.95172,                0.68239,                 1.0005,                 1.0036,                 1.1062,               0.009901,               0.009901,               0.009901
                      6,                 1.1403,                 1.2401,                 1.1226,                0.89473,                0.75961,                0.90983,                  0.646,                0.99829,                 1.0093,                 1.0993,               0.009868,               0.009868,               0.009868
                      7,                 1.1091,                 1.0459,                 1.1143,                0.86085,                0.85035,                0.92364,                0.64786,                 1.0217,                0.93785,                 1.0823,               0.009835,               0.009835,               0.009835
                      8,                 1.0847,                0.95959,                 1.1035,                0.88789,                0.91552,                0.96798,                0.70046,                0.96395,                0.78061,                 1.1174,               0.009802,               0.009802,               0.009802
                      9,                 1.0481,                0.86864,                 1.0854,                0.94402,                0.89426,                0.95931,                0.70787,                0.93491,                0.74572,                 1.0606,               0.009769,               0.009769,               0.009769
                     10,                 1.0414,                0.82878,                 1.0887,                0.94477,                0.89744,                0.97061,                0.72399,                0.90083,                0.69053,                  1.065,               0.009736,               0.009736,               0.009736
                     11,                 1.0126,                 0.7729,                 1.0675,                0.92435,                0.90482,                0.96128,                0.71624,                0.92131,                0.71631,                 1.0777,               0.009703,               0.009703,               0.009703
