                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3468,                0.77415,                 1.2405,                0.92244,                0.86201,                  0.934,                0.66991,                0.99052,                0.50989,                0.97783,              0.0033208,              0.0033208,              0.0033208
                      2,                 1.0522,                0.58227,                 1.0381,                0.94278,                0.90924,                0.95849,                0.72573,                0.84934,                0.43108,                0.92866,              0.0066212,              0.0066212,              0.0066212
                      3,                0.92914,                0.51808,                0.99122,                0.96412,                0.92889,                0.97439,                0.75164,                0.82096,                0.40818,                0.93503,              0.0098886,              0.0098886,              0.0098886
                      4,                0.91544,                0.52757,                0.97909,                0.96766,                0.91039,                0.97733,                 0.7549,                0.83433,                0.41545,                0.93475,              0.0098515,              0.0098515,              0.0098515
                      5,                 0.8789,                0.50851,                0.96036,                0.96621,                0.93059,                0.97286,                0.74465,                 0.8368,                0.41265,                0.93317,              0.0098515,              0.0098515,              0.0098515
                      6,                0.85847,                0.48633,                0.95316,                0.94286,                0.95037,                0.98196,                 0.7615,                0.80288,                0.42098,                0.92188,               0.009802,               0.009802,               0.009802
                      7,                0.84095,                0.47324,                0.95019,                0.97379,                0.94351,                0.98034,                0.75016,                0.82524,                0.41372,                0.93418,              0.0097525,              0.0097525,              0.0097525
                      8,                 0.8319,                0.46442,                0.94295,                0.96922,                0.96027,                0.98336,                0.76358,                 0.8065,                0.38422,                0.92315,               0.009703,               0.009703,               0.009703
                      9,                0.80554,                0.44656,                 0.9314,                0.96837,                0.94526,                0.98014,                0.74915,                0.81092,                0.39692,                0.92376,              0.0096535,              0.0096535,              0.0096535
                     10,                0.80089,                0.45226,                0.93208,                 0.9575,                0.94575,                0.98231,                0.76262,                0.80518,                0.40452,                0.92178,               0.009604,               0.009604,               0.009604
                     11,                0.79169,                0.44482,                0.92475,                 0.9731,                0.93694,                0.98231,                0.74982,                0.83126,                0.39865,                0.93842,              0.0095545,              0.0095545,              0.0095545
                     12,                0.78486,                0.44052,                0.92813,                0.97343,                0.95687,                0.98085,                0.76196,                0.82236,                 0.3869,                0.94352,               0.009505,               0.009505,               0.009505
                     13,                0.76545,                0.42612,                0.91833,                0.97354,                0.95952,                0.98612,                0.76919,                0.80261,                0.38041,                0.93714,              0.0094555,              0.0094555,              0.0094555
