                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88828,                  3.502,                0.96563,                0.95615,                0.96093,                0.99078,                0.82517,                0.68167,                0.83101,                0.87867,              0.0033291,              0.0033291,              0.0033291
                      2,                0.85593,                 1.6826,                0.97596,                0.96742,                0.97541,                0.99015,                0.81176,                0.71106,                0.68116,                0.91945,              0.0066404,              0.0066404,              0.0066404
                      3,                0.87316,                 1.2448,                0.99959,                0.96367,                0.96505,                0.98778,                0.80133,                0.73708,                0.65779,                0.96384,              0.0099298,              0.0099298,              0.0099298
                      4,                0.86562,                0.86392,                  1.011,                 0.9819,                0.99528,                0.99225,                0.83176,                0.67844,                0.52786,                0.94389,               0.009901,               0.009901,               0.009901
                      5,                0.81669,                0.67317,                0.99497,                0.97481,                 0.9698,                0.98782,                0.83424,                 0.6528,                0.51848,                0.93754,               0.009901,               0.009901,               0.009901
                      6,                0.79434,                0.60606,                0.99209,                0.98936,                0.99488,                0.99343,                 0.8446,                0.63651,                0.43164,                0.92733,               0.009868,               0.009868,               0.009868
                      7,                0.77919,                0.56001,                0.98159,                0.99355,                0.99021,                0.99441,                0.85808,                0.62178,                0.40015,                0.91674,               0.009835,               0.009835,               0.009835
                      8,                0.76198,                0.52621,                0.97911,                0.99292,                0.99736,                 0.9945,                0.85793,                 0.6094,                0.38149,                0.91748,               0.009802,               0.009802,               0.009802
                      9,                0.74527,                0.49848,                0.97266,                0.99264,                0.99694,                 0.9937,                0.85367,                0.60737,                0.36932,                0.91209,               0.009769,               0.009769,               0.009769
                     10,                0.72693,                0.48087,                0.96518,                0.99465,                0.99721,                0.99434,                0.86218,                0.61392,                0.35378,                0.91623,               0.009736,               0.009736,               0.009736
                     11,                 0.7181,                0.47413,                   0.96,                0.99531,                0.99914,                0.99447,                0.84406,                0.67049,                0.35571,                0.92644,               0.009703,               0.009703,               0.009703
                     12,                0.71037,                0.45491,                0.95743,                0.99597,                0.99901,                0.99447,                0.86704,                0.59823,                0.32525,                0.90518,                0.00967,                0.00967,                0.00967
                     13,                0.69651,                0.44208,                0.95366,                0.99623,                0.99924,                0.99457,                0.86599,                0.59875,                0.32548,                0.90556,               0.009637,               0.009637,               0.009637
                     14,                0.69199,                0.43622,                0.94997,                0.99649,                0.99731,                0.99456,                0.87018,                0.57592,                0.31067,                0.89691,               0.009604,               0.009604,               0.009604
                     15,                0.68234,                0.42369,                0.94652,                 0.9967,                0.99927,                0.99461,                0.86071,                0.62109,                0.31451,                0.90506,               0.009571,               0.009571,               0.009571
                     16,                0.68053,                0.41597,                0.94318,                0.99648,                 0.9987,                0.99459,                0.87841,                0.57575,                0.29882,                0.89138,               0.009538,               0.009538,               0.009538
                     17,                0.67022,                0.41371,                0.94009,                0.99725,                0.99909,                0.99459,                0.87109,                0.57711,                 0.2931,                0.88977,               0.009505,               0.009505,               0.009505
                     18,                0.67078,                0.40358,                0.94061,                0.99718,                0.99927,                0.99457,                0.87682,                0.56486,                0.28649,                0.88711,               0.009472,               0.009472,               0.009472
                     19,                0.66293,                0.39668,                0.93655,                0.99609,                0.99927,                0.99454,                0.87953,                 0.5623,                0.28165,                 0.8868,               0.009472,               0.009472,               0.009472
                     20,                0.66443,                0.39401,                0.93921,                0.99707,                0.99927,                0.99463,                0.87772,                0.56938,                0.28489,                0.89151,               0.009406,               0.009406,               0.009406
                     21,                0.65868,                0.39328,                0.93536,                0.99658,                0.99927,                0.99455,                0.88114,                0.55385,                0.28029,                0.88117,               0.009373,               0.009373,               0.009373
                     22,                0.65284,                0.38685,                0.93362,                0.99707,                0.99902,                0.99454,                0.88747,                0.55006,                 0.2708,                0.88268,                0.00934,                0.00934,                0.00934
                     23,                 0.6461,                0.38177,                0.93288,                0.99694,                0.99927,                0.99468,                0.88657,                 0.5433,                0.26277,                0.88065,               0.009307,               0.009307,               0.009307
                     24,                0.64455,                0.37607,                0.93449,                0.99694,                0.99927,                0.99471,                0.88257,                0.57319,                0.26557,                0.88436,               0.009274,               0.009274,               0.009274
                     25,                0.64363,                0.37705,                0.92968,                0.99725,                0.99905,                0.99462,                  0.887,                0.54409,                0.25994,                0.88075,               0.009241,               0.009241,               0.009241
                     26,                0.64478,                0.37168,                0.93186,                0.99733,                0.99873,                0.99464,                0.88771,                0.54598,                0.25575,                0.88474,               0.009208,               0.009208,               0.009208
                     27,                0.64094,                0.36872,                0.93026,                0.99689,                0.99927,                0.99472,                0.88818,                0.54396,                0.25462,                0.87466,               0.009175,               0.009175,               0.009175
                     28,                0.63476,                0.36459,                0.92738,                0.99683,                0.99927,                0.99462,                0.89067,                0.54248,                0.24707,                0.87536,               0.009142,               0.009142,               0.009142
                     29,                0.63495,                 0.3669,                0.92634,                 0.9969,                0.99927,                0.99468,                0.89156,                0.53652,                0.24488,                0.87593,               0.009109,               0.009109,               0.009109
                     30,                 0.6359,                0.36322,                0.92569,                0.99727,                  0.999,                0.99463,                0.89149,                0.53851,                0.24236,                0.87594,               0.009076,               0.009076,               0.009076
                     31,                0.62387,                0.35426,                0.92363,                0.99768,                0.99927,                0.99468,                0.89663,                0.53425,                0.23864,                0.87362,               0.009043,               0.009043,               0.009043
                     32,                0.62718,                 0.3564,                 0.9215,                0.99754,                0.99911,                0.99471,                0.89713,                0.53166,                 0.2403,                0.87499,                0.00901,                0.00901,                0.00901
                     33,                0.62575,                0.35255,                0.92185,                0.99752,                0.99927,                 0.9947,                0.89569,                0.53385,                0.23439,                0.86861,               0.008977,               0.008977,               0.008977
                     34,                0.62117,                0.35024,                0.91549,                0.99773,                0.99897,                0.99469,                0.89542,                 0.5261,                0.23227,                0.86767,               0.008944,               0.008944,               0.008944
                     35,                0.61641,                0.34922,                0.91857,                0.99771,                0.99927,                0.99467,                0.89625,                0.52902,                 0.2299,                0.86681,               0.008911,               0.008911,               0.008911
                     36,                0.61858,                0.34584,                0.92186,                0.99754,                0.99911,                0.99471,                 0.8979,                0.52828,                0.23168,                0.87373,               0.008878,               0.008878,               0.008878
                     37,                0.62485,                0.34828,                0.92183,                0.99731,                0.99927,                0.99468,                0.89888,                0.52526,                  0.229,                 0.8686,               0.008845,               0.008845,               0.008845
                     38,                0.61885,                0.34158,                0.91807,                0.99725,                0.99927,                0.99467,                0.89904,                0.52192,                0.22671,                0.86761,               0.008812,               0.008812,               0.008812
                     39,                0.61816,                0.34274,                0.91547,                0.99695,                0.99927,                0.99473,                0.90215,                0.52498,                0.22624,                0.86734,               0.008779,               0.008779,               0.008779
                     40,                0.61557,                0.34342,                0.92122,                0.99721,                0.99927,                0.99472,                0.90146,                0.52169,                0.22384,                0.87225,               0.008746,               0.008746,               0.008746
                     41,                0.61583,                0.34482,                0.92501,                0.99751,                0.99927,                0.99471,                0.90165,                0.52286,                0.22614,                0.87556,               0.008713,               0.008713,               0.008713
                     42,                0.61235,                0.34584,                 0.9188,                0.99744,                0.99927,                0.99476,                0.90198,                0.51953,                0.22168,                0.86796,                0.00868,                0.00868,                0.00868
                     43,                0.61383,                0.33981,                 0.9139,                0.99768,                0.99927,                0.99477,                0.90284,                0.51916,                  0.221,                0.86546,               0.008647,               0.008647,               0.008647
